logicalName,schemaName,label1033,label2052,type,precision,precisionSource,minValue,maxValue,maxLength,requiredLevel,currencyStrategy,safeContextPolicy,providerPayloadPolicy
"aigw_decemberactualrevenue","aigw_DecemberActualRevenue","December Actual Revenue","12月实绩收入","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_decemberactualrevenue_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_decemberactualgp","aigw_DecemberActualGP","December Actual GP","12月实绩毛利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_decemberactualgp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_decemberactualmp","aigw_DecemberActualMP","December Actual MP","12月实绩边际利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_decemberactualmp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_januaryactualrevenue","aigw_JanuaryActualRevenue","January Actual Revenue","1月实绩收入","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_januaryactualrevenue_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_januaryactualgp","aigw_JanuaryActualGP","January Actual GP","1月实绩毛利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_januaryactualgp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_januaryactualmp","aigw_JanuaryActualMP","January Actual MP","1月实绩边际利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_januaryactualmp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_februaryactualrevenue","aigw_FebruaryActualRevenue","February Actual Revenue","2月实绩收入","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_februaryactualrevenue_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_februaryactualgp","aigw_FebruaryActualGP","February Actual GP","2月实绩毛利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_februaryactualgp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_februaryactualmp","aigw_FebruaryActualMP","February Actual MP","2月实绩边际利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_februaryactualmp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_marchactualrevenue","aigw_MarchActualRevenue","March Actual Revenue","3月实绩收入","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_marchactualrevenue_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_marchactualgp","aigw_MarchActualGP","March Actual GP","3月实绩毛利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_marchactualgp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_marchactualmp","aigw_MarchActualMP","March Actual MP","3月实绩边际利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_marchactualmp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
